title,platform,publisher,sales_genre,release_year,rating,na_sales,eu_sales,jp_sales,other_sales,global_sales,plays,playing,backlogs,wishlist,num_reviews,sales_per_review,engagement_ratio
The Legend of Zelda: Ocarina of Time,3DS,Nintendo,Action,1998,4.3,2.03,1.27,0.62,0.3,4.21,17000.0,433.0,3000.0,1400.0,2200.0,0.0019,0.0255
BioShock,X360,Take-Two Interactive,Shooter,2007,4.0,1.65,0.86,0.05,0.28,2.83,17000.0,339.0,4000.0,1200.0,1800.0,0.0016,0.0199
BioShock,PS3,Take-Two Interactive,Shooter,2007,4.0,0.75,0.49,0.01,0.21,1.45,17000.0,339.0,4000.0,1200.0,1800.0,0.0008,0.0199
BioShock,PC,Take-Two Interactive,Shooter,2007,4.0,0.01,0.39,0.0,0.02,0.41,17000.0,339.0,4000.0,1200.0,1800.0,0.0002,0.0199
Metal Gear Solid,PS,Konami Digital Entertainment,Action,1998,4.2,3.18,1.83,0.78,0.24,6.03,12000.0,287.0,3000.0,1600.0,1900.0,0.0032,0.0239
Metal Gear Solid,GB,Konami Digital Entertainment,Action,1998,4.2,0.0,0.0,0.07,0.0,0.07,12000.0,287.0,3000.0,1600.0,1900.0,0.0,0.0239
BioShock Infinite,X360,Take-Two Interactive,Shooter,2013,3.5,1.22,0.57,0.02,0.15,1.96,18000.0,197.0,4100.0,949.0,1500.0,0.0013,0.0109
BioShock Infinite,PS3,Take-Two Interactive,Shooter,2013,3.5,0.72,0.69,0.04,0.31,1.76,18000.0,197.0,4100.0,949.0,1500.0,0.0012,0.0109
BioShock Infinite,PC,Take-Two Interactive,Shooter,2013,3.5,0.28,0.3,0.0,0.08,0.67,18000.0,197.0,4100.0,949.0,1500.0,0.0004,0.0109
Chrono Trigger,SNES,SquareSoft,Role-Playing,1995,4.5,0.28,0.0,2.02,0.01,2.31,9100.0,518.0,4900.0,2200.0,1900.0,0.0012,0.0569
Chrono Trigger,DS,Square Enix,Role-Playing,1995,4.5,0.69,0.2,0.49,0.09,1.47,9100.0,518.0,4900.0,2200.0,1900.0,0.0008,0.0569
Left 4 Dead 2,X360,Electronic Arts,Shooter,2009,3.9,2.67,0.89,0.05,0.37,3.99,19000.0,279.0,1500.0,358.0,1100.0,0.0036,0.0147
Left 4 Dead 2,PC,Valve Software,Shooter,2009,3.9,0.0,0.32,0.0,0.04,0.37,19000.0,279.0,1500.0,358.0,1100.0,0.0003,0.0147
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,Action,2011,4.1,2.7,1.91,0.11,0.8,5.53,16000.0,192.0,2700.0,651.0,1600.0,0.0035,0.012
Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,Action,2011,4.1,2.99,1.31,0.04,0.41,4.76,16000.0,192.0,2700.0,651.0,1600.0,0.003,0.012
